tree,len
"(n3:26107.35916659533177153,(n2:5398.01509328980864666,(n0:4135.92825831053778529,n1:4135.92825831053778529):1262.08683497926995187):20709.34407330552494386);",22649.0
"(n3:26107.35916659533177153,(n2:6347.60602578007456032,(n0:4135.92825831053778529,n1:4135.92825831053778529):2211.67776746953586553):19759.75314081525721122);",54629.0
"(n3:26107.35916659533177153,(n0:6347.60602578007456032,(n1:5264.98650844533949567,n2:5264.98650844534040516):1082.61951733473415516):19759.75314081525721122);",838.0
"(n3:26107.35916659533177153,(n0:6347.60602578007456032,(n1:5201.87766410927179095,n2:5201.87766410927179095):1145.72836167080276937):19759.75314081525721122);",580.0
"(n3:26107.35916659533177153,(n0:9243.79241591799109301,(n1:5201.87766410927179095,n2:5201.87766410927179095):4041.91475180871930206):16863.56675067733885953);",21136.0
"(n3:26107.35916659533177153,(n0:6097.77176083901213133,(n1:5201.87766410927179095,n2:5201.87766410927179095):895.89409672974124987):20009.58740575631964020);",29391.0
"(n3:26029.99501964534283616,(n0:6097.77176083901213133,(n1:5201.87766410927179095,n2:5201.87766410927179095):895.89409672974124987):19932.22325880633070483);",3869.0
"(n3:26029.99501964534283616,(n1:6097.77176083901213133,(n0:5248.25182252577360487,n2:5248.25182252577451436):849.51993831323852646):19932.22325880633070483);",24206.0
"(n3:26029.99501964534283616,(n1:6326.23712669954875309,(n0:5248.25182252577360487,n2:5248.25182252577451436):1077.98530417377423873):19703.75789294579590205);",38123.0
"(n3:26029.99501964534283616,(n2:5248.25182252577451436,(n0:5152.09750944093866565,n1:5152.09750944093866565):96.15431308483493922):20781.74319711956923129);",10701.0
"(n3:26029.99501964534283616,(n1:7276.99913498306523252,(n2:5248.25182252577451436,n0:5248.25182252577360487):2028.74731245729071816):18752.99588466227578465);",10746.0
"(n3:26029.99501964534283616,(n1:7276.99913498306523252,(n0:5541.11651774149686389,n2:5541.11651774149686389):1735.88261724156836863):18752.99588466227578465);",9086.0
"(n3:26029.99501964534283616,(n1:6326.23712669954875309,(n0:5541.11651774149686389,n2:5541.11651774149686389):785.12060895805188920):19703.75789294579590205);",14797.0
"(n3:25317.30550277685324545,(n1:6326.23712669954875309,(n0:5541.11651774149686389,n2:5541.11651774149686389):785.12060895805188920):18991.06837607730267337);",2323.0
"(n3:25317.30550277685324545,(n2:6326.23712669954875309,(n0:5264.98650844533949567,n1:5264.98650844533949567):1061.25061825420834793):18991.06837607730267337);",20217.0
"(n3:25317.30550277685324545,(n1:6326.23712669954875309,(n0:5541.11651774149686389,n2:5541.11651774149686389):785.12060895805188920):18991.06837607730267337);",4603.0
"(n3:25317.30550277685324545,(n0:7968.56327885892460472,(n1:6326.23712669954875309,n2:6326.23712669954875309):1642.32615215937676112):17348.74222391792864073);",20193.0
"(n3:25317.30550277685324545,(n1:6326.23712669954875309,(n0:5541.11651774149686389,n2:5541.11651774149686389):785.12060895805188920):18991.06837607730267337);",23488.0
"(n3:25317.30550277685324545,(n2:6326.23712669954875309,(n0:5266.13695092782472784,n1:5266.13695092782472784):1060.10017577172311576):18991.06837607730267337);",420.0
"(n3:25317.30550277685324545,(n1:7891.82952600066892046,(n2:6326.23712669954875309,n0:6326.23712669954875309):1565.59239930112016737):17425.47597677618614398);",50394.0
"(n3:25317.30550277685324545,(n0:6326.23712669954875309,(n1:6105.00619132722749782,n2:6105.00619132722749782):221.23093537232125527):18991.06837607730267337);",13199.0
"(n3:25317.30550277685324545,(n1:6326.23712669954875309,(n0:5266.13695092782472784,n2:5266.13695092782563734):1060.10017577172311576):18991.06837607730267337);",43879.0
"(n3:25317.30550277685324545,(n0:6326.23712669954875309,(n1:6105.00619132722749782,n2:6105.00619132722749782):221.23093537232125527):18991.06837607730267337);",61603.0
"(n3:25317.30550277685324545,(n2:6326.23712669954875309,(n0:5300.54980869506471208,n1:5300.54980869506471208):1025.68731800448404101):18991.06837607730267337);",8419.0
"(n3:25413.16361276251336676,(n2:6326.23712669954875309,(n0:5300.54980869506471208,n1:5300.54980869506471208):1025.68731800448404101):19086.92648606296279468);",12548.0
"(n3:25413.16361276251336676,(n2:5885.42760399609323940,(n0:5300.54980869506471208,n1:5300.54980869506471208):584.87779530102852732):19527.73600876642012736);",43877.0
"(n3:25413.16361276251336676,(n1:6105.00619132722749782,(n2:5885.42760399609323940,n0:5885.42760399609323940):219.57858733113425842):19308.15742143528768793);",54043.0
"(n3:25413.16361276251336676,(n1:6105.00619132722749782,(n0:5888.96189237118414894,n2:5888.96189237118414894):216.04429895604334888):19308.15742143528768793);",14858.0
"(n3:25592.62242658039758680,(n1:6105.00619132722749782,(n0:5888.96189237118414894,n2:5888.96189237118414894):216.04429895604334888):19487.61623525316826999);",12804.0
"(n3:25592.62242658039758680,(n2:5888.96189237118414894,(n0:5266.13695092782472784,n1:5266.13695092782472784):622.82494144335851161):19703.66053420921525685);",13369.0
"(n3:25592.62242658039758680,(n2:7758.10448632178031403,(n0:5266.13695092782472784,n1:5266.13695092782472784):2491.96753539395467669):17834.51794025861818227);",5624.0
"(n3:25592.62242658039758680,(n0:7758.10448632177940453,(n1:7123.06892197204797412,n2:7123.06892197204888362):635.03556434973143041):17834.51794025861818227);",6891.0
"(n3:25592.62242658039758680,(n2:7758.10448632178031403,(n0:6105.00619132722749782,n1:6105.00619132722749782):1653.09829499455281621):17834.51794025861818227);",26170.0
"(n3:25592.62242658039758680,(n2:7824.57457665921901935,(n0:6105.00619132722749782,n1:6105.00619132722749782):1719.56838533199152153):17768.04784992117856746);",5986.0
"(n3:25592.62242658039758680,(n2:7824.57457665921901935,(n0:5266.13695092782472784,n1:5266.13695092782472784):2558.43762573139338201):17768.04784992117856746);",16054.0
